trajectory_id,seed,arm,original_role,v2_role,anchor,bank,bank_role,contrast,group,delta_X,delta_S,delta_W,delta_I,delta_v,baseline_v,candidate_v,baseline_qX,candidate_qX,q_denominator_status,e_norm,inference_alias,T_minus_B_minus_C_maxabs
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,3,fit,no_x_off_1_minus_joint_0,4,-1.3485458590690303e-05,-7.794408732417674e-05,0.000337854090623868,-0.0002464245447089963,0.0002464245447089963,0.8904920215271662,0.8907384460718752,0.07459678415113326,0.07456100716485582,PRESENT,0.01743648889087372,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,3,fit,no_x_off_1_minus_joint_0,5,-1.3496394814472195e-05,-8.138390853140257e-05,0.0003525696190433876,-0.00025768931569745615,0.00025768931569745615,0.8907574217231108,0.8910151110388083,0.07468530767474674,0.0746485608224923,PRESENT,0.01743648889087372,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,4,fit,joint_1_minus_joint_0,0,-0.0002513898092652659,-0.0012301176673666378,0.0036835627035901593,-0.0022020552269582157,0.0022020552269582157,0.8902612131542372,0.8924632683811955,0.07621806322592732,0.07574832266781902,PRESENT,0.06704876635246335,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,4,fit,joint_1_minus_joint_0,1,-0.00023493902059873098,-0.0011695347835095138,0.003654238681140129,-0.002249764877031948,0.002249764877031948,0.890215381792095,0.8924651466691269,0.0762084139992907,0.07575305724360633,PRESENT,0.06704876635246335,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,4,fit,joint_1_minus_joint_0,2,-0.00031507530382910445,-0.0012149259736877111,0.0036351522142208377,-0.0021051509367041132,0.0021051509367041132,0.889886772462019,0.8919919233987231,0.07420814501859253,0.0736797830037995,PRESENT,0.06704876635246335,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,4,fit,joint_1_minus_joint_0,3,-0.0003075851716040414,-0.0011818917898943127,0.003623825020768513,-0.0021343480592701555,0.0021343480592701555,0.8898144733535273,0.8919488214127974,0.07425849773287459,0.07373595805241817,PRESENT,0.06704876635246335,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,4,fit,joint_1_minus_joint_0,4,-0.00025415882163761405,-0.0012670293744281625,0.0036406212316183175,-0.0021194330355525978,0.0021194330355525978,0.8908280486278424,0.8929474816633949,0.07432083289362969,0.0738598014684273,PRESENT,0.06704876635246335,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,4,fit,joint_1_minus_joint_0,5,-0.0002561018265800305,-0.0012518023763127292,0.0036616679479578485,-0.0021537637450651614,0.0021537637450651614,0.8910910556709606,0.8932448194160258,0.0744125282257252,0.07394639752672662,PRESENT,0.06704876635246335,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,4,fit,no_x_off_1_minus_joint_0,0,0.0,0.0,0.0,0.0,-0.0,0.8902612131542372,0.8902612131542372,0.07621806322592732,0.07621806322592732,PRESENT,0.0,True,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,4,fit,no_x_off_1_minus_joint_0,1,0.0,0.0,0.0,0.0,-0.0,0.890215381792095,0.890215381792095,0.0762084139992907,0.0762084139992907,PRESENT,0.0,True,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,4,fit,no_x_off_1_minus_joint_0,2,0.0,0.0,0.0,0.0,-0.0,0.889886772462019,0.889886772462019,0.07420814501859253,0.07420814501859253,PRESENT,0.0,True,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,4,fit,no_x_off_1_minus_joint_0,3,0.0,0.0,0.0,0.0,-0.0,0.8898144733535273,0.8898144733535273,0.07425849773287459,0.07425849773287459,PRESENT,0.0,True,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,4,fit,no_x_off_1_minus_joint_0,4,0.0,0.0,0.0,0.0,-0.0,0.8908280486278424,0.8908280486278424,0.07432083289362969,0.07432083289362969,PRESENT,0.0,True,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,4,fit,no_x_off_1_minus_joint_0,5,0.0,0.0,0.0,0.0,-0.0,0.8910910556709606,0.8910910556709606,0.0744125282257252,0.0744125282257252,PRESENT,0.0,True,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,5,fit,joint_1_minus_joint_0,0,-8.035578101458703e-05,-0.0002969508468578541,0.0014516997320164848,-0.0010743931041440646,0.0010743931041440646,0.8898972651804388,0.8909716582845828,0.07649651949143188,0.07631408595099791,PRESENT,0.027766680469961478,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,5,fit,joint_1_minus_joint_0,1,-8.096587989657802e-05,-0.00029754303183486883,0.0014161248469419425,-0.0010376159352105208,0.0010376159352105208,0.8898508160429811,0.8908884319781917,0.0764716306010854,0.0762916820725768,PRESENT,0.027766680469961478,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,5,fit,joint_1_minus_joint_0,2,-5.9500021747569535e-05,-0.00029316444842111816,0.0013921354071010637,-0.0010394709369324566,0.0010394709369324566,0.8895638970774518,0.8906033680143842,0.07430264807847162,0.0741491168098137,PRESENT,0.027766680469961478,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,5,fit,joint_1_minus_joint_0,3,-6.132628509906515e-05,-0.000294863486404216,0.0013617849948786653,-0.0010055952233753414,0.0010055952233753414,0.8894795143587383,0.8904851095821137,0.0743474840596167,0.0741946575176847,PRESENT,0.027766680469961478,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,5,fit,joint_1_minus_joint_0,4,-4.683605657796139e-05,-0.0003137304033901412,0.001420449923851948,-0.001059883463883792,0.001059883463883792,0.890504616546842,0.8915645000107258,0.07443810216770158,0.07429707841659114,PRESENT,0.027766680469961478,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,5,fit,joint_1_minus_joint_0,5,-4.840463385023229e-05,-0.0003210002573164003,0.0014066091859758763,-0.0010372042948093478,0.0010372042948093478,0.8907634491277794,0.8918006534225887,0.07452395533604951,0.07438300320744484,PRESENT,0.027766680469961478,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,5,fit,no_x_off_1_minus_joint_0,0,0.0,0.0,0.0,0.0,-0.0,0.8898972651804388,0.8898972651804388,0.07649651949143188,0.07649651949143188,PRESENT,0.0,True,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,5,fit,no_x_off_1_minus_joint_0,1,0.0,0.0,0.0,0.0,-0.0,0.8898508160429811,0.8898508160429811,0.0764716306010854,0.0764716306010854,PRESENT,0.0,True,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,5,fit,no_x_off_1_minus_joint_0,2,0.0,0.0,0.0,0.0,-0.0,0.8895638970774518,0.8895638970774518,0.07430264807847162,0.07430264807847162,PRESENT,0.0,True,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,5,fit,no_x_off_1_minus_joint_0,3,0.0,0.0,0.0,0.0,-0.0,0.8894795143587383,0.8894795143587383,0.0743474840596167,0.0743474840596167,PRESENT,0.0,True,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,5,fit,no_x_off_1_minus_joint_0,4,0.0,0.0,0.0,0.0,-0.0,0.890504616546842,0.890504616546842,0.07443810216770158,0.07443810216770158,PRESENT,0.0,True,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,5,fit,no_x_off_1_minus_joint_0,5,0.0,0.0,0.0,0.0,-0.0,0.8907634491277794,0.8907634491277794,0.07452395533604951,0.07452395533604951,PRESENT,0.0,True,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,6,fit,joint_1_minus_joint_0,0,-0.0003840300680014983,-0.0020072578560390384,0.005011023527941211,-0.0026197356039007027,0.0026197356039007027,0.8899233654292937,0.8925431010331943,0.07642377381966863,0.07576919461942046,PRESENT,0.08818327500690813,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,6,fit,joint_1_minus_joint_0,1,-0.000378499901362164,-0.001975370423091752,0.0049432451388365835,-0.0025893748143826726,0.0025893748143826726,0.8898910498339001,0.8924804246482827,0.0764080544327626,0.07576227108871508,PRESENT,0.08818327500690813,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,6,fit,joint_1_minus_joint_0,2,-0.000510086161701121,-0.0019968458245538927,0.005167806592640895,-0.0026608746063857707,0.0026608746063857707,0.8895717888748602,0.892232663481246,0.07446599704198716,0.07367222331988868,PRESENT,0.08818327500690813,False,0.0
