method,n,proposal,case,event,units,four_event_total_mse,count,signed_bias,pooled_residual_population_variance,mse,mae,max_absolute,mean_within_unit_prompt_repeat_sample_variance,signed_q50,signed_q90,signed_q95,signed_q99,absolute_q50,absolute_q90,absolute_q95,absolute_q99
CROSSFIT_COV_ZERO_SUM,1024,equal_pair_mixture,IDENTICAL_POLICY,I,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,1024,equal_pair_mixture,IDENTICAL_POLICY,delta_v,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,1024,equal_pair_mixture,IDENTITY_HASH_SELECTED,X,12,2.264018875834497e-08,172800,-8.273021934339031e-08,9.48476246519509e-10,9.484830908087015e-10,1.5991152015704295e-05,0.0003653625076503657,9.482305884490323e-10,0.0,2.7299386107109542e-05,4.808592335595841e-05,9.829254416296225e-05,4.447786462980725e-06,4.839718349185043e-05,7.04918399725965e-05,0.0001227587881591912
CROSSFIT_COV_ZERO_SUM,1024,equal_pair_mixture,IDENTITY_HASH_SELECTED,S,12,2.264018875834497e-08,172800,-1.6722545111122576e-07,5.194449890268248e-09,5.194477854619747e-09,4.0272413025057227e-05,0.0005956702913575708,5.195296977045566e-09,0.0,7.295546071407375e-05,0.00012115415627423388,0.0002231151575238738,1.372180507950332e-05,0.00012194944159976887,0.0001674615207111897,0.0002644031395730586
CROSSFIT_COV_ZERO_SUM,1024,equal_pair_mixture,IDENTITY_HASH_SELECTED,W,12,2.264018875834497e-08,172800,-2.2949567344484697e-07,6.118479116254426e-09,6.118531784518555e-09,4.659737434070735e-05,0.0006203208297874685,6.121382935606519e-09,0.0,8.766567810551167e-05,0.00013578372899378534,0.00022985860918368017,2.041591632337273e-05,0.0001356287780602255,0.00017792744253298314,0.0002682736808257418
CROSSFIT_COV_ZERO_SUM,1024,equal_pair_mixture,IDENTITY_HASH_SELECTED,I,12,2.264018875834497e-08,172800,4.794513438978855e-07,1.0378466154806807e-08,1.0378696028397975e-08,6.07899448205035e-05,0.0007245129748880916,1.0380140704371487e-08,0.0,0.00011614896263411469,0.0001764588693483225,0.00029795874449201244,2.665005172475203e-05,0.00017638267367010415,0.0002314688112883027,0.0003478431516989967
CROSSFIT_COV_ZERO_SUM,1024,equal_pair_mixture,IDENTITY_HASH_SELECTED,delta_v,12,2.264018875834497e-08,172800,-4.794513438978855e-07,1.0378466154806807e-08,1.0378696028397975e-08,6.07899448205035e-05,0.0007245129748880916,1.0380140704371487e-08,-0.0,0.00011420976371143853,0.00017628648371161002,0.0003023355477621419,2.665005172475203e-05,0.00017638267367010415,0.0002314688112883027,0.0003478431516989967
CROSSFIT_COV_ZERO_SUM,1024,origin,IDENTICAL_POLICY,X,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,1024,origin,IDENTICAL_POLICY,S,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,1024,origin,IDENTICAL_POLICY,W,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
