seed,arm,anchor,method,rank_cap,alpha,n,noise,fit_budget,representation,input_mode,r,k,branch,group,pred_delta_pX,true_delta_pX,pred_delta_v,true_delta_v
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,6,4,0.0,0.002168809715414135,-0.0,0.003308902949630687
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,6,5,0.0,0.0022048268088232484,-0.0,0.003172791106786263
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,7,0,0.0,0.0026943691127472038,-0.0,0.004641436067503037
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,7,1,0.0,0.002730077789905695,-0.0,0.004615516529406189
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,7,2,0.0,0.002504664880414375,-0.0,0.004567521773922944
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,7,3,0.0,0.0024852448912087745,-0.0,0.0045639658409981675
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,7,4,0.0,0.0022575673220485235,-0.0,0.004615275845659846
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,7,5,0.0,0.0022774982139591904,-0.0,0.00454989631269626
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,8,0,0.0,0.002582509984879059,-0.0,0.0032830528888770256
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,8,1,0.0,0.002601033377808331,-0.0,0.0031657752035468265
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,8,2,0.0,0.0024296286236368952,-0.0,0.00325201664336316
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,8,3,0.0,0.002401069870474912,-0.0,0.003159457758941086
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,8,4,0.0,0.002168809715414135,-0.0,0.003308902949630687
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,8,5,0.0,0.0022048268088232484,-0.0,0.003172791106786263
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,9,0,0.0,0.0024669906055241318,-0.0,0.003610382126169273
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,9,1,0.0,0.0024914226423802277,-0.0,0.0035524595077782114
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,9,2,0.0,0.0022749303272430557,-0.0,0.003536217324595694
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,9,3,0.0,0.002251489679991394,-0.0,0.0035003628998624818
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,9,4,0.0,0.0019992755616909355,-0.0,0.00361739719881957
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,9,5,0.0,0.002028640144311203,-0.0,0.0035545138951207033
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,10,0,0.0,0.002345674047910619,-0.0,0.005987274104392555
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,10,1,0.0,0.0023578733285104965,-0.0,0.00593119398336328
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,10,2,0.0,0.0021726888093257513,-0.0,0.0059676712666105825
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,10,3,0.0,0.0021381054483297058,-0.0,0.005935241038731249
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,10,4,0.0,0.0018862606129841746,-0.0,0.0060347067123379386
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,10,5,0.0,0.0018993629890123366,-0.0,0.005963747793869851
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,11,0,0.0,0.0024669906055241318,-0.0,0.003610382126169273
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,11,1,0.0,0.0024914226423802277,-0.0,0.0035524595077782114
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,11,2,0.0,0.0022749303272430557,-0.0,0.003536217324595694
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,11,3,0.0,0.002251489679991394,-0.0,0.0035003628998624818
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,11,4,0.0,0.0019992755616909355,-0.0,0.00361739719881957
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,11,5,0.0,0.002028640144311203,-0.0,0.0035545138951207033
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,0,0,0.0,0.00046127728552814926,-0.0,0.0028222353904273413
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,0,1,0.0,0.0006206579989387855,-0.0,0.002511721792313783
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,0,2,0.0,0.0005896131735705721,-0.0,0.0031905424398124458
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,0,3,0.0,0.0007739575915082947,-0.0,0.0030024790269372204
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,0,4,0.0,0.0006091789104611349,-0.0,0.0030010329096286236
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,0,5,0.0,0.0009093926163451458,-0.0,0.0027771150837605355
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,1,0,0.0,0.000296922469047849,-0.0,0.004369115693444652
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,1,1,0.0,0.00040788045420185083,-0.0,0.004365347409191856
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,1,2,0.0,0.0006151781261934074,-0.0,0.004723556763733708
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,1,3,0.0,0.0007142121581101604,-0.0,0.0047728028896458505
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,1,4,0.0,0.0004761547134540297,-0.0,0.004474005318180783
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,1,5,0.0,0.0006269021704840781,-0.0,0.004498337976603535
301,X_BASE,40,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,11,2,0,0.0,0.00046127728552814926,-0.0,0.0028222353904273413
