method,rank_cap,alpha,n,fit_budget,representation,input_mode,seed,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,panel,noise_replicas
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,305,0.03069874408612217,0.03069874408612217,0.003149269407621723,0.003149269407621723,0.0,0.8587962962962964,2.4945099944804787,2.4945099944804787,1.0,360,0.040772717067105224,0.040772717067105224,0.004905069100314759,0.004905069100314759,0.08139919109471212,0.0026916735701468116,0.0071162516254159175,robust,5
B5_WORST_GROUP_RANK,0,0.0,64,8,per_prompt,actual_d,305,0.03069874408612217,0.03069874408612217,0.003149269407621723,0.003149269407621723,0.0,0.8587962962962964,2.4945099944804787,2.4945099944804787,1.0,360,0.040772717067105224,0.040772717067105224,0.004905069100314759,0.004905069100314759,0.08139919109471212,0.0026916735701468116,0.0071162516254159175,robust,5
B6_FULL_Q_RIDGE,FULL,0.01,64,8,per_prompt,actual_d,305,0.012543779949360867,0.012497390205845494,0.03234878133298684,0.0323058480581692,0.011689814814814814,0.8587962962962964,192.70260769241958,2.4945099944804787,8.789236926686929,360,0.017899456570087364,0.017758379600696716,0.043111814464437515,0.04306442545898452,0.035002962021859804,0.028600484607754446,0.020547192179420776,robust,5
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,8,per_prompt,actual_d,305,0.020041616187396374,0.019931644457998634,0.01951938061619995,0.0194219590486618,0.045023148148148145,0.8587962962962964,98.30587057559767,2.4945099944804787,6.277650057164214,360,0.03026358930045434,0.029978298717747716,0.03079230731798537,0.03048186537535506,0.05582981599480367,0.016398744016161426,0.020019283145429168,robust,5
B0_PERSISTENCE,0,0.0,16,8,per_prompt,actual_d,305,0.06139638123335237,0.06139638123335237,0.003149269407621723,0.003149269407621723,0.0,0.8587962962962964,2.4945099944804787,2.4945099944804787,1.0,360,0.08188637706263613,0.08188637706263613,0.004905069100314759,0.004905069100314759,0.16300611227439576,0.0026916735701468116,0.0071162516254159175,robust,5
B6_FULL_Q_RIDGE,FULL,0.01,16,8,per_prompt,actual_d,305,0.025083490340585272,0.024698029799167118,0.06479913338103645,0.06444315076139984,0.035841049382716046,0.8587962962962964,781.0262819166337,2.4945099944804787,17.69457761108309,360,0.03598824584778158,0.03484845235264696,0.08679312588324502,0.0863816692416952,0.07044292768612326,0.04995450953892272,0.03971290054117623,robust,5
B5_WORST_GROUP_RANK,0,0.0,16,8,per_prompt,actual_d,305,0.06139638123335237,0.06139638123335237,0.003149269407621723,0.003149269407621723,0.0,0.8587962962962964,2.4945099944804787,2.4945099944804787,1.0,360,0.08188637706263613,0.08188637706263613,0.004905069100314759,0.004905069100314759,0.16300611227439576,0.0026916735701468116,0.0071162516254159175,robust,5
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,8,per_prompt,actual_d,305,0.0446885464616004,0.04396139455163194,0.030150438121720278,0.029518121545989488,0.16616512345679013,0.8587962962962964,264.1959415351092,2.4945099944804787,10.291304937184975,360,0.0640671296598157,0.06268135922856785,0.050479561849302745,0.049248486693959564,0.1249780047565412,0.030076279108072906,0.02064930357356961,robust,5
B0_PERSISTENCE,0,0.0,256,8,per_prompt,actual_d,305,0.01572907829954124,0.01572907829954124,0.003149269407621723,0.003149269407621723,0.0,0.8587962962962964,2.4945099944804787,2.4945099944804787,1.0,360,0.0209961424581439,0.0209961424581439,0.004905069100314759,0.004905069100314759,0.04226027997175804,0.0026916735701468116,0.0071162516254159175,robust,5
B6_FULL_Q_RIDGE,FULL,0.01,256,8,per_prompt,actual_d,305,0.006364885454189511,0.006359673703226159,0.016247175696785385,0.016242343000968305,0.0037037037037037034,0.8587962962962964,48.80374845182719,2.4945099944804787,4.423173406575842,360,0.00908705756612643,0.009077807906267724,0.02169597120192913,0.021692531630603334,0.017685897623758873,0.011142655668433789,0.010060438072713033,robust,5
B5_WORST_GROUP_RANK,0,0.0,256,8,per_prompt,actual_d,305,0.01572907829954124,0.01572907829954124,0.003149269407621723,0.003149269407621723,0.0,0.8587962962962964,2.4945099944804787,2.4945099944804787,1.0,360,0.0209961424581439,0.0209961424581439,0.004905069100314759,0.004905069100314759,0.04226027997175804,0.0026916735701468116,0.0071162516254159175,robust,5
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,8,per_prompt,actual_d,305,0.010095213842762856,0.01008556174276387,0.010420131976620197,0.010411311935788118,0.007137345679012345,0.8587962962962964,26.77806348561585,2.4945099944804787,3.2764003169074383,360,0.014935402240463105,0.014915052291958253,0.016070969954724162,0.016048515666469223,0.028567586415438443,0.010691676721376617,0.007770770449135697,robust,5
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,306,0.0035732314508884746,0.0035732314508884738,0.0035732314508884746,0.0035732314508884738,0.0,0.8427854938271605,0.6839455770260818,0.6839455770260818,1.0,72,0.0057431251550350785,0.0057431251550350785,0.0057431251550350785,0.0057431251550350785,0.009608425771738531,0.0025729555793599593,0.005837249402251229,robust,1
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,306,0.0035732314508884746,0.0035732314508884738,0.0035732314508884746,0.0035732314508884738,0.0,0.8427854938271605,0.6839455770260818,0.6839455770260818,1.0,72,0.0057431251550350785,0.0057431251550350785,0.0057431251550350785,0.0057431251550350785,0.009608425771738531,0.0025729555793599593,0.005837249402251229,robust,1
