method,rank_cap,n,telemetry,H,noise,fit_budget,representation,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,projected_response_nrmse
B5_WORST_GROUP_RANK,2,exact,PROJECTION_AND_NET_DISPLACEMENT,1,0,8,per_prompt_helmert,0.00040610692521839283,0.00040610692521839267,0.0004061069252183931,0.00040610692521839267,0.0,0.861111111111111,0.008591304352948786,0.4918481073406968,0.1321642664903743,60,0.0007051113138148624,0.0007051113138148624,0.0007051113138148624,0.0007051113138148624,0.0011112316246873778,0.0003561572593478097,0.0007566967605033395,0.1321642664903743
B5_WORST_GROUP_RANK,2,exact,PROJECTION_AND_PATH,2,0,8,per_prompt_helmert,0.0006627751718010946,0.0006627751718010944,0.0006627751718010947,0.0006627751718010944,0.0,0.7519675925925926,0.048615328241077206,2.465428886064776,0.140423686792378,120,0.001186041114588416,0.0011860411145884159,0.0011860411145884159,0.0011860411145884159,0.002173854199365444,0.0006290156855759068,0.0013212252010393012,0.140423686792378
B5_WORST_GROUP_RANK,2,exact,PROJECTION_AND_NET_DISPLACEMENT,2,0,8,per_prompt_helmert,0.0006627751718010946,0.0006627751718010944,0.0006627751718010947,0.0006627751718010944,0.0,0.7519675925925926,0.048615328241077206,2.465428886064776,0.140423686792378,120,0.001186041114588416,0.0011860411145884159,0.0011860411145884159,0.0011860411145884159,0.002173854199365444,0.0006290156855759068,0.0013212252010393012,0.140423686792378
B5_WORST_GROUP_RANK,2,exact,PROJECTION_AND_PATH,4,0,8,per_prompt_helmert,0.0014264271484953023,0.0014264271484953019,0.0014264271484953023,0.0014264271484953019,0.0,0.5991319444444444,0.5358904385005661,14.816577127474233,0.19017965758318284,240,0.0027844289429777135,0.0027844289429777135,0.0027844289429777135,0.0027844289429777135,0.005246886516508594,0.0012962471369915164,0.0026772534544685722,0.19017965758318284
B5_WORST_GROUP_RANK,2,exact,PROJECTION_AND_NET_DISPLACEMENT,4,0,8,per_prompt_helmert,0.0014264271484953023,0.0014264271484953019,0.0014264271484953023,0.0014264271484953019,0.0,0.5991319444444444,0.5358904385005661,14.816577127474233,0.19017965758318284,240,0.0027844289429777135,0.0027844289429777135,0.0027844289429777135,0.0027844289429777135,0.005246886516508594,0.0012962471369915164,0.0026772534544685722,0.19017965758318284
B5_WORST_GROUP_RANK,2,exact,PROJECTION_AND_PATH,8,0,8,per_prompt_helmert,0.003590570009951677,0.0035905700099516766,0.003590570009951677,0.0035905700099516766,0.0,0.42890625,6.999445121480191,92.91184834570944,0.27447086848017427,480,0.007115655991958337,0.007115655991958337,0.007115655991958337,0.007115655991958337,0.013797379229754322,0.0037650323811017263,0.007077771476701221,0.27447086848017427
B5_WORST_GROUP_RANK,2,exact,PROJECTION_AND_NET_DISPLACEMENT,8,0,8,per_prompt_helmert,0.003590570009951677,0.0035905700099516766,0.003590570009951677,0.0035905700099516766,0.0,0.42890625,6.999445121480191,92.91184834570944,0.27447086848017427,480,0.007115655991958337,0.007115655991958337,0.007115655991958337,0.007115655991958337,0.013797379229754322,0.0037650323811017263,0.007077771476701221,0.27447086848017427
B5_WORST_GROUP_RANK,2,exact,PROJECTION_AND_PATH,16,0,8,per_prompt_helmert,0.00951618629478358,0.009502738861916183,0.00951618629478358,0.009502738861916183,0.010098379629629629,0.2827835648148148,102.16587416362634,563.2676744577017,0.4258881080972531,960,0.019222995631960095,0.0192126964369231,0.019222995631960095,0.0192126964369231,0.03724689066004627,0.010188297254269256,0.022447012495388125,0.4256599280168323
B5_WORST_GROUP_RANK,2,exact,PROJECTION_AND_NET_DISPLACEMENT,16,0,8,per_prompt_helmert,0.00951618629478358,0.009502738861916183,0.00951618629478358,0.009502738861916183,0.010098379629629629,0.2827835648148148,102.16587416362634,563.2676744577017,0.4258881080972531,960,0.019222995631960095,0.0192126964369231,0.019222995631960095,0.0192126964369231,0.03724689066004627,0.010188297254269256,0.022447012495388125,0.4256599280168323
B5_WORST_GROUP_RANK,4,exact,PROJECTION_AND_PATH,1,0,8,per_prompt_helmert,0.0003896825219545843,0.00038968252195458434,0.0003896825219545843,0.00038968252195458434,0.0,0.861111111111111,0.007859105322110095,0.4918481073406968,0.1264069789823749,60,0.0006743955336227106,0.0006743955336227108,0.0006743955336227103,0.0006743955336227108,0.0010431608436780174,0.0002629225141476104,0.0007400683906879316,0.126406978982375
