method,rank_cap,n,selection_source,seed,arm,anchor,elapsed_step,group,event,truth,raw_prediction,envelope_lower,envelope_upper,envelope_label
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,10,1,pX,0.08546414605684717,0.08333333333333333,-0.025824696816985487,0.19249136348365214,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,10,1,v,0.8616791778006062,0.86328125,0.7541232198496812,0.9724392801503188,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,10,2,pX,0.08211595001176399,0.06510416666666667,-0.044053863483652145,0.1742621968169855,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,10,2,v,0.8630433508785005,0.8372395833333334,0.7280815531830146,0.9463976134836521,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,10,3,pX,0.08226927948986938,0.055989583333333336,-0.05316844681698548,0.16514761348365214,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,10,3,v,0.8626262829700155,0.84765625,0.7384982198496812,0.9568142801503188,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,10,4,pX,0.08027987430816565,0.05078125,-0.058376780150318816,0.15993928015031883,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,10,4,v,0.862613704791683,0.8828125,0.7736544698496812,0.9919705301503188,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,10,5,pX,0.0802775987696694,0.07552083333333333,-0.03363719681698549,0.18467886348365214,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,10,5,v,0.862772925245139,0.8606770833333334,0.7515190531830146,0.9698351134836521,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,11,0,pX,0.08778371708810577,0.07291666666666667,-0.036241363483652145,0.1820746968169855,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,11,0,v,0.8644135655914387,0.8216145833333334,0.7124565531830146,0.9307726134836521,EMPIRICAL_CALIBRATED_ENVELOPE
