seed,arm,anchor,n,noise,r,k,full_J_rmse,direction_omission_rmse,fit_sampling_rmse,total_rmse,triangle_bound_mean,total_norm_mean,max_triangle_violation
306,X_VALID,40,16,0,0,11,1.277309623116797e-05,0.0021339209053580035,0.0,0.0021387579034213783,0.03095308220992588,0.0308436184755479,-8.559495653556737e-05
306,X_VALID,40,64,0,0,11,1.277309623116797e-05,0.0021339209053580035,0.0,0.0021387579034213783,0.03095308220992588,0.0308436184755479,-8.559495653556737e-05
306,X_VALID,40,256,0,0,11,1.277309623116797e-05,0.0021339209053580035,0.0,0.0021387579034213783,0.03095308220992588,0.0308436184755479,-8.559495653556737e-05
307,X_BASE,8,exact,0,0,23,6.884989579321794e-05,0.003171352452914359,0.0,0.003222847200337878,0.04711250806328818,0.046950413337676127,-2.997225137420928e-05
307,X_BASE,8,16,0,0,23,6.884989579321794e-05,0.003171352452914359,0.0,0.003222847200337878,0.04711250806328818,0.046950413337676127,-2.997225137420928e-05
307,X_BASE,8,64,0,0,23,6.884989579321794e-05,0.003171352452914359,0.0,0.003222847200337878,0.04711250806328818,0.046950413337676127,-2.997225137420928e-05
307,X_BASE,8,256,0,0,23,6.884989579321794e-05,0.003171352452914359,0.0,0.003222847200337878,0.04711250806328818,0.046950413337676127,-2.997225137420928e-05
307,X_BASE,24,exact,0,0,18,0.00018529480344311373,0.0076482295761855605,0.0,0.007812649953893632,0.11415230097317651,0.11385427865396675,-0.00014065194338216958
307,X_BASE,24,16,0,0,18,0.00018529480344311373,0.0076482295761855605,0.0,0.007812649953893632,0.11415230097317651,0.11385427865396675,-0.00014065194338216958
307,X_BASE,24,64,0,0,18,0.00018529480344311373,0.0076482295761855605,0.0,0.007812649953893632,0.11415230097317651,0.11385427865396675,-0.00014065194338216958
307,X_BASE,24,256,0,0,18,0.00018529480344311373,0.0076482295761855605,0.0,0.007812649953893632,0.11415230097317651,0.11385427865396675,-0.00014065194338216958
307,X_BASE,40,exact,0,0,17,0.0002603341775958219,0.009494938265215611,0.0,0.009346917743969263,0.13898297933183046,0.13279467583781393,-0.0036066996563119402
307,X_BASE,40,16,0,0,17,0.0002603341775958219,0.009494938265215611,0.0,0.009346917743969263,0.13898297933183046,0.13279467583781393,-0.0036066996563119402
307,X_BASE,40,64,0,0,17,0.0002603341775958219,0.009494938265215611,0.0,0.009346917743969263,0.13898297933183046,0.13279467583781393,-0.0036066996563119402
307,X_BASE,40,256,0,0,17,0.0002603341775958219,0.009494938265215611,0.0,0.009346917743969263,0.13898297933183046,0.13279467583781393,-0.0036066996563119402
307,X_VALID,8,exact,0,0,17,8.668822207751989e-05,0.005545187277643927,0.0,0.005482121814416795,0.08176770852666213,0.07952984458888422,-0.0020619560295468825
307,X_VALID,8,16,0,0,17,8.668822207751989e-05,0.005545187277643927,0.0,0.005482121814416795,0.08176770852666213,0.07952984458888422,-0.0020619560295468825
307,X_VALID,8,64,0,0,17,8.668822207751989e-05,0.005545187277643927,0.0,0.005482121814416795,0.08176770852666213,0.07952984458888422,-0.0020619560295468825
307,X_VALID,8,256,0,0,17,8.668822207751989e-05,0.005545187277643927,0.0,0.005482121814416795,0.08176770852666213,0.07952984458888422,-0.0020619560295468825
307,X_VALID,24,exact,0,0,8,6.764601312336943e-05,0.0012879538005866151,0.0,0.001241569282364413,0.018561587443607797,0.01694594623989391,-0.001125150674872651
307,X_VALID,24,16,0,0,8,6.764601312336943e-05,0.0012879538005866151,0.0,0.001241569282364413,0.018561587443607797,0.01694594623989391,-0.001125150674872651
