seed,arm,anchor,n,oracle_min_mass,oracle_qualified_prompts,observed_defined_prompts,total_prompts,oracle_coverage_fraction,scored_coverage_fraction,subset_label,window_includes_fit_eval_and_16_steps,conditional_probability_mae,conditional_raw_invalid_fraction,status
306,X_BASE,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.033983737063332305,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
306,X_BASE,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.007893332383556015,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
306,X_BASE,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03760851453716854,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
306,X_BASE,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.005272588503855235,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
306,X_BASE,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.035601514095926656,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
306,X_VALID,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.003329416746851589,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
306,X_VALID,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.028197165079939794,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
306,X_VALID,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.001243073032816249,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
306,X_VALID,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.023967087403456516,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
306,X_VALID,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0014067055238120986,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
306,X_VALID,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.024140943781591418,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
307,X_BASE,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0022747973914358623,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
307,X_BASE,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03976989129405942,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
307,X_BASE,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.005434032069286827,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
307,X_BASE,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.036079397191120285,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
307,X_BASE,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.005808016270358581,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
307,X_BASE,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03673612725380972,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
307,X_VALID,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0036687905733841304,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
307,X_VALID,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03191312971588391,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
307,X_VALID,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0008014478532373397,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
307,X_VALID,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.022733131098765205,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
307,X_VALID,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0025748613864033394,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
307,X_VALID,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.028784227578458634,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
308,X_BASE,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.002220720012694644,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
308,X_BASE,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.035711594456574326,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
308,X_BASE,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.005959376633665336,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
308,X_BASE,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.035290867713298535,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
308,X_BASE,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0031710049545395115,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
308,X_BASE,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.036226951809688296,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
308,X_VALID,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.00445360407793411,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
308,X_VALID,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.028105477576691646,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
308,X_VALID,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0008908652935208602,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
308,X_VALID,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.02512610366318044,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
308,X_VALID,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0011843300694810977,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
308,X_VALID,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.027369411458890935,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
309,X_BASE,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0018832226265369347,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
309,X_BASE,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03614442123343416,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
309,X_BASE,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.007489608683668132,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
309,X_BASE,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.04201080859086477,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
309,X_BASE,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0055747900582153115,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
309,X_BASE,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.037554111653910024,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
309,X_VALID,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.004175136875305839,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
309,X_VALID,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.029508436467754005,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
309,X_VALID,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0013213296886461698,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
309,X_VALID,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.025434869529559173,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
309,X_VALID,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0009229186366338328,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
309,X_VALID,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.025130526440855103,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
310,X_BASE,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0015911872663399611,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
310,X_BASE,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.033202463190310456,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
310,X_BASE,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.00469578237559522,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
310,X_BASE,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03687450833009926,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
310,X_BASE,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.004526623309540114,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
310,X_BASE,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03563626076773297,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
310,X_VALID,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.004050349658334755,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
310,X_VALID,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0291611247687698,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
310,X_VALID,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0012511657860638248,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
310,X_VALID,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.02463178045977797,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
310,X_VALID,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0013273976959061492,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
310,X_VALID,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.02371038743759089,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
