seed,arm,anchor,method,rank_cap,alpha,n,noise,r,k,selection_source,metric_space,full_J_rmse,low_J_rmse,direction_omission_rmse,fit_sampling_rmse,total_rmse,triangle_bound_mean,total_residual_norm_mean,frozen_model_reproduction_max_abs,source_frozen_record,vector_file
302,X_VALID,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,12,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,3.1771178072398926e-05,0.0025615897088612236,0.0025358659616590996,0.013854641798892361,0.013711834171750545,0.2041912908581028,0.16969741343703423,0.0,2799,exact_rule_vectors/002799.npz
302,X_VALID,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,12,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,3.1771178072398926e-05,0.0025224537991480923,0.002496784769963042,0.004700465887366003,0.0051573187215791265,0.09098066920418367,0.06841417800914361,0.0,2827,exact_rule_vectors/002827.npz
303,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,18,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,4.56204944916682e-05,0.002072389994159586,0.002041680172555112,9.599740523761272e-05,0.0020854550023408254,0.03165511137435796,0.030384973192630994,0.0,2885,exact_rule_vectors/002885.npz
303,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,18,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,4.56204944916682e-05,0.0024836103832946693,0.0024524170908669474,0.02318560482992466,0.023359718181548788,0.3010156055391425,0.27420769676295037,0.0,2927,exact_rule_vectors/002927.npz
303,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,18,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,4.56204944916682e-05,0.0024879695255711843,0.0024560405942082083,0.032622446636919204,0.03279357933233645,0.4359648961226539,0.4038590019660122,0.0,3036,exact_rule_vectors/003036.npz
303,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,18,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,4.56204944916682e-05,0.0024895271119522635,0.002459055757230251,0.02415886269071536,0.024233836740266097,0.3556891748782081,0.3217761121746477,0.0,3064,exact_rule_vectors/003064.npz
303,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,17,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00020691548650701662,0.0033587979522442966,0.003413874518791269,0.003194357119863095,0.0009649227454182366,0.0991093435163647,0.013067138584164617,0.0,3122,exact_rule_vectors/003122.npz
303,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,17,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00020691548650701662,0.010303264092698302,0.010112864801205273,0.019368804328458115,0.021204236179097315,0.38769487604621244,0.2846905969954793,0.0,3164,exact_rule_vectors/003164.npz
303,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,17,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00020691548650701662,0.010074158009801167,0.009884695441434017,0.015549967819840025,0.018525310738507644,0.3609321341124813,0.2646298858921821,0.0,3273,exact_rule_vectors/003273.npz
303,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,17,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00020691548650701662,0.010318244807061516,0.010127896443253409,0.013872330262272579,0.014650065898589134,0.33295369610918374,0.2051025835361231,0.0,3301,exact_rule_vectors/003301.npz
303,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,12,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00012986400970255144,0.002920552977765152,0.002958812202721928,0.002572288263421644,0.0010650639603675194,0.081582958853911,0.01505045527325044,0.0,3359,exact_rule_vectors/003359.npz
303,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,12,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00012986400970255144,0.011061906170387457,0.011052756309997335,0.020578869377585844,0.022796874533031586,0.39299529053990073,0.30960915018597795,0.0,3401,exact_rule_vectors/003401.npz
303,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,12,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00012986400970255144,0.010413371906075946,0.010404877070565652,0.057856627941975554,0.059103968975067714,0.9768105195900186,0.846953292194069,0.0,3510,exact_rule_vectors/003510.npz
303,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,12,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00012986400970255144,0.009697244514285443,0.009688905678753898,0.03348018129266165,0.031083757332080814,0.6262899013548839,0.4500205739328767,0.0,3538,exact_rule_vectors/003538.npz
303,X_VALID,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,17,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,9.917217373259158e-05,0.0005323762689728677,0.0004881014118611796,0.0004779945377700371,0.00026563094993301174,0.015275447249577731,0.003175285784252087,0.0,3596,exact_rule_vectors/003596.npz
303,X_VALID,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,17,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,9.917217373259158e-05,0.005793777568957937,0.005874304256958739,0.049753252914758274,0.04951239903586863,0.7841679342194121,0.6982637395520187,0.0,3638,exact_rule_vectors/003638.npz
303,X_VALID,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,17,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,9.917217373259158e-05,0.005718585622089317,0.0057984760563305135,0.03055719181713197,0.030928156203408122,0.48136641565064603,0.40588073099290023,0.0,3747,exact_rule_vectors/003747.npz
303,X_VALID,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,17,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,9.917217373259158e-05,0.005730923352914107,0.005811197883222435,0.01578541251405689,0.015836472543555052,0.29891621005665797,0.2189033730474381,0.0,3775,exact_rule_vectors/003775.npz
303,X_VALID,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,16,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,3.824293598234279e-05,0.0007964945795755026,0.0008118472005692189,0.0005430016976277618,0.0004433165926972456,0.020050696480889543,0.005417153287058059,0.0,3833,exact_rule_vectors/003833.npz
303,X_VALID,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,16,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,3.824293598234279e-05,0.0010795209564391504,0.0010595610537826557,0.041002129218947775,0.04088850418274457,0.6129477558972206,0.5954383734310349,0.0,3875,exact_rule_vectors/003875.npz
