method,rank_cap,alpha,n,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max
B2_RANDOM_Q,8,1e-05,exact,0.00041227885743258525,0.0004122788574325857,0.00041227885743258525,0.00041227885743258573,0.0,0.878954475308642,0.06152187098565536,1.6924620366648147,0.1906581169562999,288,0.0008612362069309173,0.0008612362069309175,0.0008612362069309173,0.0008612362069309175,0.0014909077216383026,0.00032585397190104903,0.0009309557213820182
B2_RANDOM_Q,8,0.01,exact,0.0004391235786092579,0.0004391235786092581,0.0004391235786092579,0.0004391235786092581,0.0,0.878954475308642,0.06336130139457619,1.6924620366648147,0.19348734994496386,288,0.0008740163493480337,0.000874016349348034,0.0008740163493480338,0.000874016349348034,0.0015366462539472452,0.0002859791767996268,0.0009775397906152115
B2_RANDOM_Q,8,0.0,64,0.01994382325665365,0.01985826099452554,0.036923451687205795,0.036846165483098464,0.05216370884773663,0.8789544753086419,605.5948427411265,5.0773861099944435,10.92121580009104,864,0.027793601060815763,0.027668523116899903,0.049333050283404775,0.04926841214005034,0.055910035676807295,0.023463100900994044,0.022253478219912835
B2_RANDOM_Q,8,1e-08,64,0.019943772515381417,0.01985821298625222,0.03692341684089744,0.03684613319425997,0.05303176440329218,0.8789544753086419,605.5937479504695,5.0773861099944435,10.921205928432977,864,0.027793521767134472,0.02766844848154475,0.04933300569139116,0.04926837020075526,0.05590986294203362,0.02346310464753304,0.02225347956051791
B2_RANDOM_Q,8,1e-05,64,0.019894078811189393,0.019811088213983825,0.036889384006569576,0.036814523900159025,0.05227623456790123,0.8789544753086419,604.527295699634,5.0773861099944435,10.91158555439607,864,0.02771619046106831,0.027595543341958816,0.04928954877186908,0.04922743144237137,0.05576491513515047,0.02346684292728406,0.022254818022335195
B2_RANDOM_Q,8,0.01,64,0.01342001664721965,0.013417069754007579,0.0332017699959126,0.033199378827223576,0.006413966049382715,0.8789544753086419,488.6608498136687,5.0773861099944435,9.81033138319898,864,0.018443936583285803,0.018440658647014295,0.0443149902248232,0.04431358840570856,0.037042238149839674,0.022145830064785,0.02129875111659607
B2_RANDOM_Q,16,0.0,exact,0.00027136918830217077,0.0002713691883021707,0.00027136918830217066,0.0002713691883021707,0.0,0.878954475308642,0.025335805480830087,1.6924620366648147,0.12235110333340271,288,0.0005526814270006912,0.0005526814270006914,0.0005526814270006911,0.0005526814270006914,0.0009421948001214266,0.00021773478055869418,0.0008249607835461722
B2_RANDOM_Q,16,1e-08,exact,0.0002713698801228282,0.0002713698801228286,0.0002713698801228282,0.0002713698801228286,0.0,0.878954475308642,0.025335990986220726,1.6924620366648147,0.12235155125181782,288,0.0005526834503268574,0.0005526834503268575,0.0005526834503268573,0.0005526834503268575,0.0009421985979616318,0.00021773420309611455,0.0008249410208706394
B2_RANDOM_Q,16,1e-05,exact,0.00027203309548788705,0.00027203309548788727,0.00027203309548788716,0.00027203309548788727,0.0,0.878954475308642,0.02551209206069322,1.6924620366648147,0.12277602506111218,288,0.0005546008730901481,0.0005546008730901482,0.0005546008730901482,0.0005546008730901482,0.0009469540351676015,0.00021685732546198447,0.0008064104771023443
B2_RANDOM_Q,16,0.01,exact,0.00036885260906258,0.00036885260906258023,0.00036885260906258,0.00036885260906258023,0.0,0.878954475308642,0.043322596383380915,1.6924620366648147,0.159991816898114,288,0.0007227111424629254,0.0007227111424629256,0.0007227111424629255,0.0007227111424629256,0.0012761749694124988,0.00026163088224208315,0.0008658206783912432
B2_RANDOM_Q,16,0.0,64,0.03218246609682119,0.031601003414634884,0.04540606942214414,0.044847243497599845,0.1057420267489712,0.8789544753086419,1002.6629254246975,5.0773861099944435,14.05262260455555,864,0.04862477199094547,0.04730413659733798,0.06347816490893536,0.06249620863463197,0.09333173156532297,0.035490611560585784,0.027570016862052415
B2_RANDOM_Q,16,1e-08,64,0.03218167440183899,0.03160029442373095,0.04540543303320775,0.04484668648307005,0.10723701131687244,0.8789544753086419,1002.6241448235012,5.0773861099944435,14.052350841030242,864,0.04862316116428023,0.047302754835861015,0.06347693730535123,0.062495166225837465,0.09332960916222809,0.03549041560769583,0.02756997581679124
B2_RANDOM_Q,16,1e-05,64,0.03146449205851582,0.03095305338816275,0.04483450426165197,0.044343363798633566,0.1015946502057613,0.8789544753086419,968.4007394329881,5.0773861099944435,13.810438266564518,864,0.04718008401654035,0.04605280311652691,0.062384175710052836,0.06155794497911766,0.09090795990606555,0.03525580892387903,0.027529120695359694
B2_RANDOM_Q,16,0.01,64,0.013329182690399666,0.013327051401849222,0.03340223228782953,0.03340046675399737,0.0057066615226337445,0.8789544753086419,492.98264908059673,5.0773861099944435,9.853618000969677,864,0.018260296955550346,0.018258498090725113,0.04451052348139181,0.04450982986395859,0.036704617365093554,0.022121417535268383,0.02047332534431248
B2_RANDOM_Q,FULL,0.0,exact,0.00021489906075789495,0.00021489906075789476,0.00021489906075789498,0.00021489906075789479,0.0,0.878954475308642,0.015497987808849057,1.6924620366648147,0.09569256361212382,288,0.0004322601200120468,0.00043226012001204697,0.0004322601200120468,0.00043226012001204697,0.000754534238849547,0.00016988219309653938,0.0005395810294790855
B2_RANDOM_Q,FULL,1e-08,exact,0.00021490097955497914,0.0002149009795549794,0.0002149009795549792,0.00021490097955497939,0.0,0.878954475308642,0.015498343655815329,1.6924620366648147,0.09569366219709541,288,0.00043226508251335025,0.0004322650825133503,0.0004322650825133503,0.0004322650825133503,0.0007545444927318471,0.00016988238652192192,0.0005395927737745184
B2_RANDOM_Q,FULL,1e-05,exact,0.00021674400637266143,0.00021674400637266165,0.00021674400637266148,0.00021674400637266165,0.0,0.878954475308642,0.01584135144828983,1.6924620366648147,0.09674680833751356,288,0.00043702232863429856,0.0004370223286342987,0.0004370223286342986,0.0004370223286342987,0.0007630696010005226,0.00017006249187031074,0.000544107622727071
B2_RANDOM_Q,FULL,0.01,exact,0.00035903053938862777,0.0003590305393886279,0.0003590305393886278,0.0003590305393886279,0.0,0.878954475308642,0.040839367926747146,1.6924620366648147,0.15533883294552273,288,0.00070169279656602,0.0007016927965660202,0.0007016927965660201,0.0007016927965660202,0.0012398290594112073,0.000217093374970845,0.0009062834029565794
