method,rank_cap,alpha,n,fit_budget,representation,input_mode,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
O1_JQ_SVD_ORACLE,1,0.0,exact,8,per_prompt,actual_d,0.0014471160097041065,0.0014471160097041065,0.001447116009704107,0.0014471160097041065,0.0,0.8600887345679012,1.1743622137986285,5.548249977175462,0.46006905666908793,720,0.0023797894910666416,0.0023797894910666416,0.0023797894910666416,0.0023797894910666416,0.0032129465764037368,0.0016860058478450162,0.007393667009357705,primary,1,[0],60,10,MATCHES_B0_EXACTLY
O1_JQ_SVD_ORACLE,2,0.0,exact,8,per_prompt,actual_d,0.0005382296326797609,0.0005382296326797608,0.000538229632679761,0.0005382296326797608,0.0,0.8600887345679012,0.22877869638815573,5.548249977175462,0.20306252421475954,720,0.0010503772295717179,0.0010503772295717179,0.0010503772295717179,0.0010503772295717179,0.0015352942289953001,0.0010143097379291994,0.002039267745812389,primary,1,[0],60,10,MATCHES_B0_EXACTLY
O1_JQ_SVD_ORACLE,4,0.0,exact,8,per_prompt,actual_d,0.00037968541579252687,0.0003796854157925263,0.0003796854157925269,0.0003796854157925263,0.0,0.8600887345679012,0.1311915523766194,5.548249977175462,0.15377117237645493,720,0.0007954088951339643,0.0007954088951339642,0.0007954088951339644,0.0007954088951339642,0.0011938614293104243,0.0007916233682584155,0.000611633171346998,primary,1,[0],60,10,MATCHES_B0_EXACTLY
O1_JQ_SVD_ORACLE,8,0.0,exact,8,per_prompt,actual_d,0.0002817543893394948,0.0002817543893394942,0.00028175438933949483,0.0002817543893394942,0.0,0.8600887345679012,0.07367328188203781,5.548249977175462,0.11523303441718286,720,0.0005960634829805061,0.0005960634829805059,0.0005960634829805061,0.0005960634829805059,0.0009663082424633639,0.00031408561126527063,0.0005469763696437468,primary,1,[0],60,10,MATCHES_B0_EXACTLY
O1_JQ_SVD_ORACLE,16,0.0,exact,8,per_prompt,actual_d,0.00026920866855448673,0.00026920866855448613,0.0002692086685544868,0.00026920866855448613,0.0,0.8600887345679012,0.06925193662368213,5.548249977175462,0.11172180700644123,720,0.0005779010311231141,0.0005779010311231139,0.0005779010311231141,0.0005779010311231139,0.0009389787170736724,0.00021071578031605807,0.0005393307939009703,primary,1,[0],60,10,MATCHES_B0_EXACTLY
O1_JQ_SVD_ORACLE,FULL,0.0,exact,8,per_prompt,actual_d,0.0002691564332725601,0.0002691564332725595,0.0002691564332725601,0.0002691564332725595,0.0,0.8600887345679012,0.06924506329699565,5.548249977175462,0.11171626261613479,720,0.0005778723517724941,0.0005778723517724941,0.0005778723517724941,0.000577872351772494,0.0009385738732467936,0.0002103434659537392,0.000539382563648096,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B4_ENERGY95,FULL,0.01,exact,8,per_prompt,actual_d,0.00042363877003928906,0.0004236387700392889,0.00042363877003928917,0.0004236387700392889,0.0,0.8600887345679012,0.1664461567069414,5.548249977175462,0.1732043821971232,720,0.0008959306490718373,0.0008959306490718374,0.0008959306490718374,0.0008959306490718374,0.0014735418011360473,0.0003073911312640314,0.0009863374014630745,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_FULL_PARAMETER_SKETCH,4,0.01,exact,8,per_prompt,actual_d,0.0011150899719817493,0.0011150899719817497,0.0011150899719817493,0.0011150899719817497,0.0,0.8600887345679012,1.1010599567172559,5.548249977175462,0.44547924428080304,720,0.002304321076716733,0.002304321076716733,0.002304321076716733,0.002304321076716733,0.004046727371607297,0.0010260499795089713,0.0033116941498210306,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,0.0006444397158737508,0.0006444397158737507,0.0006444397158737508,0.0006444397158737507,0.0,0.8600887345679012,0.3022380153125264,5.548249977175462,0.2333976797596856,720,0.0012072912478679138,0.0012072912478679138,0.0012072912478679138,0.001207291247867914,0.0020182650411563023,0.0008394571678411029,0.0028185744459315377,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,0.031563853866331607,0.031563853866331607,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,16.644749931526384,16.644749931526384,1.0,2160,0.04185700765005834,0.04185700765005834,0.00517267887628953,0.00517267887628953,0.08439180098742009,0.0024270577129933196,0.006394995810945838,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
