method,rank_cap,n,telemetry,H,seed,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,projected_response_nrmse
B6_FULL_Q_RIDGE,FULL,exact,PROJECTION_AND_PATH,2,301,0.000577425459812094,0.0005774254598120938,0.0005774254598120938,0.0005774254598120937,0.0,0.7534722222222222,0.0029733328266198875,0.2689153704866663,0.10515113136357795,12,0.0009275448019122128,0.0009275448019122129,0.0009275448019122125,0.0009275448019122128,0.0018457451588476976,0.00048269884028415486,0.0011577568401202917,0.105151131363578
B6_FULL_Q_RIDGE,FULL,exact,PROJECTION_AND_NET_DISPLACEMENT,2,301,0.000577425459812094,0.0005774254598120938,0.0005774254598120938,0.0005774254598120937,0.0,0.7534722222222222,0.0029733328266198875,0.2689153704866663,0.10515113136357795,12,0.0009275448019122128,0.0009275448019122129,0.0009275448019122125,0.0009275448019122128,0.0018457451588476976,0.00048269884028415486,0.0011577568401202917,0.105151131363578
B6_FULL_Q_RIDGE,FULL,exact,PROJECTION_AND_PATH,4,301,0.0012752651688187871,0.0012752651688187867,0.0012752651688187871,0.0012752651688187867,0.0,0.6302083333333334,0.03393446674376867,1.498372749581175,0.15049101849952964,24,0.0022157392438997133,0.0022157392438997133,0.0022157392438997133,0.0022157392438997133,0.004522849034080195,0.0010982704608632292,0.002775415510969459,0.15049101849952964
B6_FULL_Q_RIDGE,FULL,exact,PROJECTION_AND_NET_DISPLACEMENT,4,301,0.0012752651688187871,0.0012752651688187867,0.0012752651688187871,0.0012752651688187867,0.0,0.6302083333333334,0.03393446674376867,1.498372749581175,0.15049101849952964,24,0.0022157392438997133,0.0022157392438997133,0.0022157392438997133,0.0022157392438997133,0.004522849034080195,0.0010982704608632292,0.002775415510969459,0.15049101849952964
B6_FULL_Q_RIDGE,FULL,exact,PROJECTION_AND_PATH,8,301,0.0034606321631053118,0.0034606321631053105,0.0034606321631053118,0.0034606321631053105,0.0,0.49855324074074076,0.5727535673615007,9.171674858572949,0.24989615632706463,48,0.006436755886523983,0.006436755886523983,0.006436755886523983,0.006436755886523983,0.01323407671472656,0.003574371801165409,0.008279422204269724,0.24989615632706463
B6_FULL_Q_RIDGE,FULL,exact,PROJECTION_AND_NET_DISPLACEMENT,8,301,0.0034606321631053118,0.0034606321631053105,0.0034606321631053118,0.0034606321631053105,0.0,0.49855324074074076,0.5727535673615007,9.171674858572949,0.24989615632706463,48,0.006436755886523983,0.006436755886523983,0.006436755886523983,0.006436755886523983,0.01323407671472656,0.003574371801165409,0.008279422204269724,0.24989615632706463
B6_FULL_Q_RIDGE,FULL,exact,PROJECTION_AND_PATH,16,301,0.011400609681664708,0.011398785591400574,0.011400609681664708,0.011398785591400574,0.005063657407407407,0.3599537037037037,14.392194920007437,74.24316995548273,0.44028639192711205,96,0.02281558746865004,0.022814287582918622,0.02281558746865004,0.022814287582918622,0.045984178104288474,0.008959595466651406,0.023969526884473458,0.4402613072344917
B6_FULL_Q_RIDGE,FULL,exact,PROJECTION_AND_NET_DISPLACEMENT,16,301,0.011400609681664708,0.011398785591400574,0.011400609681664708,0.011398785591400574,0.005063657407407407,0.3599537037037037,14.392194920007437,74.24316995548273,0.44028639192711205,96,0.02281558746865004,0.022814287582918622,0.02281558746865004,0.022814287582918622,0.045984178104288474,0.008959595466651406,0.023969526884473458,0.4402613072344917
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_PATH,1,301,0.0035045167205679864,0.0035045167205679864,0.0035045167205679864,0.0035045167205679864,0.0,0.8657407407407408,0.05343179500340794,0.05343179500340794,1.0,6,0.005560681402850663,0.005560681402850665,0.005560681402850663,0.005560681402850665,0.008303747015335362,0.0023861569403002096,0.006539227752609402,1.0000000000000002
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_NET_DISPLACEMENT,1,301,0.0035045167205679864,0.0035045167205679864,0.0035045167205679864,0.0035045167205679864,0.0,0.8657407407407408,0.05343179500340794,0.05343179500340794,1.0,6,0.005560681402850663,0.005560681402850665,0.005560681402850663,0.005560681402850665,0.008303747015335362,0.0023861569403002096,0.006539227752609402,1.0000000000000002
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_PATH,2,301,0.005218383876880309,0.005218383876880309,0.005218383876880309,0.005218383876880309,0.0,0.7534722222222222,0.2689153704866663,0.2689153704866663,1.0,12,0.008821063452993846,0.008821063452993848,0.008821063452993846,0.008821063452993848,0.015004632880774353,0.003977994376296623,0.01121583079259355,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_NET_DISPLACEMENT,2,301,0.005218383876880309,0.005218383876880309,0.005218383876880309,0.005218383876880309,0.0,0.7534722222222222,0.2689153704866663,0.2689153704866663,1.0,12,0.008821063452993846,0.008821063452993848,0.008821063452993846,0.008821063452993848,0.015004632880774353,0.003977994376296623,0.01121583079259355,1.0
